"hour","avg_engagement","hashtag"
"00",8.98104797331965,"#Biden"
"01",10.036607714557,"#Biden"
"02",10.7572741010818,"#Biden"
"03",20.8403792564399,"#Biden"
"04",11.2272179012602,"#Biden"
"05",11.6034636087058,"#Biden"
"06",12.505466821182,"#Biden"
"07",9.70652747020985,"#Biden"
"08",10.5204810015374,"#Biden"
"09",12.7485739120987,"#Biden"
"10",9.43457332705488,"#Biden"
"11",9.26239842403349,"#Biden"
"12",9.9464481334794,"#Biden"
"13",8.7925372040173,"#Biden"
"14",10.5862506641478,"#Biden"
"15",15.7514404061167,"#Biden"
"16",16.2882423171908,"#Biden"
"17",16.6884359337629,"#Biden"
"18",12.8456548620543,"#Biden"
"19",10.7446808510638,"#Biden"
"20",10.5364878839543,"#Biden"
"21",12.4000594723183,"#Biden"
"22",13.1275385099025,"#Biden"
"23",8.13743348342202,"#Biden"
"00",9.14081238749973,"#Trump"
"01",7.86654800544446,"#Trump"
"02",7.50592938338879,"#Trump"
"03",10.4642988123113,"#Trump"
"04",11.0663181429605,"#Trump"
"05",11.7317775264727,"#Trump"
"06",12.0116626269013,"#Trump"
"07",10.4845681811312,"#Trump"
"08",9.77632041634433,"#Trump"
"09",11.2711757269279,"#Trump"
"10",8.63625291062153,"#Trump"
"11",8.64850083644319,"#Trump"
"12",8.91387245233399,"#Trump"
"13",8.45939591246157,"#Trump"
"14",8.85060297942776,"#Trump"
"15",9.09554335894621,"#Trump"
"16",10.0104674213091,"#Trump"
"17",9.86663266816918,"#Trump"
"18",10.0966774731556,"#Trump"
"19",8.34531307139084,"#Trump"
"20",7.86387235659111,"#Trump"
"21",7.91314548890965,"#Trump"
"22",7.85114727494027,"#Trump"
"23",7.67608627556272,"#Trump"
