"hour","avg_sentiment","hashtag"
"00",0.00419153120904735,"#Biden"
"01",0.0129285907055552,"#Biden"
"02",0.0154535045723846,"#Biden"
"03",0.0123651266468201,"#Biden"
"04",0.0170257570422414,"#Biden"
"05",0.0135161822842207,"#Biden"
"06",0.00941709065179612,"#Biden"
"07",0.00684680853748871,"#Biden"
"08",0.00788814345905185,"#Biden"
"09",0.00905868946720817,"#Biden"
"10",0.00960046876546806,"#Biden"
"11",0.00850370698775372,"#Biden"
"12",0.00429890308285478,"#Biden"
"13",0.00438725940358206,"#Biden"
"14",0.00651144282859233,"#Biden"
"15",0.00389701057529338,"#Biden"
"16",0.0412466363713039,"#Biden"
"17",0.0417859537818338,"#Biden"
"18",0.0298257100491362,"#Biden"
"19",0.02076694779481,"#Biden"
"20",0.0142520924381159,"#Biden"
"21",0.0141111023636386,"#Biden"
"22",0.00799920954510356,"#Biden"
"23",0.00953063765221451,"#Biden"
"00",-0.0398625721703669,"#Trump"
"01",-0.0335297855931824,"#Trump"
"02",-0.0310327819982273,"#Trump"
"03",-0.0267796515601562,"#Trump"
"04",-0.025499392975266,"#Trump"
"05",-0.0250941826030458,"#Trump"
"06",-0.0279641280851971,"#Trump"
"07",-0.032259367947703,"#Trump"
"08",-0.0292887673032137,"#Trump"
"09",-0.0267147655966792,"#Trump"
"10",-0.0287924802097995,"#Trump"
"11",-0.0326068670260777,"#Trump"
"12",-0.0330024474778282,"#Trump"
"13",-0.033231654530231,"#Trump"
"14",-0.033552610027273,"#Trump"
"15",-0.0333258235608753,"#Trump"
"16",-0.0293916313368116,"#Trump"
"17",-0.0301365162168109,"#Trump"
"18",-0.0310450067157029,"#Trump"
"19",-0.0330078197721591,"#Trump"
"20",-0.0341111772658254,"#Trump"
"21",-0.0332919029156749,"#Trump"
"22",-0.0337747295038125,"#Trump"
"23",-0.0390510147572353,"#Trump"
