"date","hashtag","tweet_count"
2020-10-15,"#biden",14949
2020-10-15,"#trump",18135
2020-10-16,"#biden",17950
2020-10-16,"#trump",24958
2020-10-17,"#biden",11469
2020-10-17,"#trump",16958
2020-10-18,"#biden",10374
2020-10-18,"#trump",17480
2020-10-19,"#biden",10781
2020-10-19,"#trump",19945
2020-10-20,"#biden",11854
2020-10-20,"#trump",19053
2020-10-21,"#biden",13443
2020-10-21,"#trump",20500
2020-10-22,"#biden",16152
2020-10-22,"#trump",22084
2020-10-23,"#biden",45870
2020-10-23,"#trump",49353
2020-10-24,"#biden",13105
2020-10-24,"#trump",19009
2020-10-25,"#biden",14877
2020-10-25,"#trump",17405
2020-10-26,"#biden",13736
2020-10-26,"#trump",22289
2020-10-27,"#biden",13616
2020-10-27,"#trump",22982
2020-10-28,"#biden",16429
2020-10-28,"#trump",24628
2020-10-29,"#biden",13720
2020-10-29,"#trump",22051
2020-10-30,"#biden",14625
2020-10-30,"#trump",22913
2020-10-31,"#biden",14607
2020-10-31,"#trump",22441
2020-11-01,"#biden",17551
2020-11-01,"#trump",30574
2020-11-02,"#biden",26067
2020-11-02,"#trump",45427
2020-11-03,"#biden",41500
2020-11-03,"#trump",67287
2020-11-04,"#biden",99580
2020-11-04,"#trump",128259
2020-11-05,"#biden",46874
2020-11-05,"#trump",70857
2020-11-06,"#biden",51461
2020-11-06,"#trump",85178
2020-11-07,"#biden",150722
2020-11-07,"#trump",103723
2020-11-08,"#biden",75574
2020-11-08,"#trump",57430
