"word","hashtag","count"
"al","#biden",8071
"al","#donaldtrump",10564
"america","#biden",40739
"america","#donaldtrump",43561
"american","#biden",13011
"american","#donaldtrump",16483
"americans","#biden",11737
"americans","#donaldtrump",18223
"amp","#biden",54824
"amp","#donaldtrump",78816
"arizona","#biden",8347
"biden","#biden",596047
"biden","#donaldtrump",238608
"bidenharris","#biden",20496
"bidenharris","#donaldtrump",10895
"byebyetrump","#biden",8512
"campaign","#biden",10205
"campaign","#donaldtrump",13156
"che","#biden",9586
"che","#donaldtrump",14534
"china","#biden",14570
"china","#donaldtrump",14092
"cnn","#biden",16700
"cnn","#donaldtrump",17680
"con","#biden",12717
"con","#donaldtrump",16921
"congratulations","#biden",14310
"coronavirus","#biden",8250
"coronavirus","#donaldtrump",17940
"country","#biden",12498
"country","#donaldtrump",16984
"covid","#biden",12528
"covid","#donaldtrump",26604
"das","#donaldtrump",12225
"day","#biden",11933
"day","#donaldtrump",15074
"de","#biden",93902
"de","#donaldtrump",127135
"debate","#biden",11200
"debate","#donaldtrump",12027
"del","#biden",9011
"del","#donaldtrump",12805
"democracy","#biden",8224
"democracy","#donaldtrump",10773
"democrat","#biden",8667
"democrats","#biden",18351
"democrats","#donaldtrump",17177
"der","#biden",10322
"der","#donaldtrump",19270
"des","#biden",10550
"des","#donaldtrump",14801
"di","#biden",15712
"di","#donaldtrump",21934
"die","#biden",15144
"die","#donaldtrump",30218
"donald","#biden",15613
"donald","#donaldtrump",36261
"donaldtrump","#biden",40299
"donaldtrump","#donaldtrump",134200
"el","#biden",27139
"el","#donaldtrump",34729
"elecciones","#biden",8623
"elecciones","#donaldtrump",11325
"elect","#biden",10423
"election","#biden",42351
"election","#donaldtrump",58317
"electionday","#biden",30271
"electionday","#donaldtrump",36673
"electionnight","#biden",18144
"electionnight","#donaldtrump",21080
"elections","#biden",14901
"elections","#donaldtrump",17420
"electoral","#biden",8225
"en","#biden",40707
"en","#donaldtrump",55393
"es","#biden",14117
"es","#donaldtrump",21743
"est","#donaldtrump",10070
"family","#biden",8177
"florida","#biden",9747
"florida","#donaldtrump",14308
"foxnews","#biden",8855
"foxnews","#donaldtrump",14339
"fraud","#donaldtrump",12014
"georgia","#biden",13521
"georgia","#donaldtrump",10954
"gop","#biden",8722
"gop","#donaldtrump",28277
"ha","#donaldtrump",10517
"harris","#biden",21016
"hope","#biden",10637
"house","#biden",8938
"house","#donaldtrump",11813
"hunter","#biden",10514
"hunterbiden","#biden",12225
"il","#biden",16168
"il","#donaldtrump",21945
"ist","#donaldtrump",12768
"joe","#biden",60969
"joe","#donaldtrump",24596
"joebiden","#biden",349035
"joebiden","#donaldtrump",84464
"kamala","#biden",9071
"kamalaharris","#biden",50251
"kamalaharris","#donaldtrump",11478
"la","#biden",54981
"la","#donaldtrump",75715
"las","#biden",10159
"las","#donaldtrump",13932
"le","#biden",23726
"le","#donaldtrump",33424
"les","#biden",15404
"les","#donaldtrump",22774
"lies","#donaldtrump",11827
"lo","#donaldtrump",11878
"los","#biden",16088
"los","#donaldtrump",20602
"love","#biden",9225
"love","#donaldtrump",10387
"maga","#biden",11218
"maga","#donaldtrump",39939
"media","#biden",9935
"media","#donaldtrump",13850
"michigan","#biden",12430
"michigan","#donaldtrump",11644
"nevada","#biden",10893
"news","#biden",14393
"news","#donaldtrump",22842
"nicht","#donaldtrump",10387
"obama","#biden",15309
"obama","#donaldtrump",11593
"para","#biden",9487
"para","#donaldtrump",11405
"pennsylvania","#biden",14939
"pennsylvania","#donaldtrump",13293
"people","#biden",28044
"people","#donaldtrump",43164
"politics","#donaldtrump",10868
"por","#biden",10767
"por","#donaldtrump",14379
"potus","#biden",10489
"potus","#donaldtrump",20868
"pour","#biden",9410
"pour","#donaldtrump",12685
"president","#biden",66514
"president","#donaldtrump",53949
"presidente","#biden",11442
"presidential","#biden",10309
"realdonaldtrump","#biden",47307
"realdonaldtrump","#donaldtrump",93418
"republican","#donaldtrump",12446
"republicans","#donaldtrump",15000
"se","#biden",17953
"se","#donaldtrump",24172
"si","#biden",10221
"si","#donaldtrump",14158
"son","#biden",9019
"stop","#donaldtrump",13222
"support","#donaldtrump",10450
"supporters","#donaldtrump",16166
"time","#biden",17966
"time","#donaldtrump",22793
"trump","#biden",274522
"trump","#donaldtrump",983068
"trumpislosing","#donaldtrump",9943
"trumpmeltdown","#donaldtrump",16246
"trumpvsbiden","#biden",9591
"trumpvsbiden","#donaldtrump",12945
"twitter","#biden",10350
"twitter","#donaldtrump",16387
"una","#donaldtrump",10328
"und","#biden",9288
"und","#donaldtrump",17634
"united","#biden",9951
"usa","#biden",41084
"usa","#donaldtrump",50549
"uselection","#biden",9412
"victory","#biden",10021
"vote","#biden",80302
"vote","#donaldtrump",85447
"voted","#biden",12718
"voted","#donaldtrump",11128
"voters","#donaldtrump",10113
"votes","#biden",22926
"votes","#donaldtrump",25112
"voting","#biden",12233
"voting","#donaldtrump",14600
"watch","#biden",8386
"watch","#donaldtrump",10372
"white","#biden",9537
"white","#donaldtrump",14872
"whitehouse","#donaldtrump",10190
"win","#biden",25897
"win","#donaldtrump",25543
"wins","#biden",15237
"wins","#donaldtrump",12280
"won","#biden",12557
"won","#donaldtrump",10836
"world","#biden",13054
"world","#donaldtrump",16821
